['r', [16017, 16018]]
['r', [16022, 16023]]
['r', [16031, 16032]]
['r', [16040, 16041]]
['r', [16076, 16077]]
['r', [16094, 16095]]
['r', [16152, 16153]]
['r', [16170, 16171]]
['r', [16184, 16185]]
['r', [16191, 16192]]
['r', [16194, 16195]]
['r', [16195, 16196]]
['r', [16245, 16246]]
['r', [16251, 16252]]
['r', [16257, 16258]]
['r', [16258, 16259]]
['r', [16288, 16289]]
['r', [16294, 16295]]
['r', [16416, 16417]]
['r', [16423, 16424]]
['r', [16429, 16430]]
['r', [16445, 16446]]
['r', [16464, 16465]]
['r', [16475, 16476]]
['r', [16482, 16483]]
['r', [16483, 16484]]
['r', [16519, 16520]]
['r', [16520, 16521]]
['r', [16559, 16560]]
['r', [16560, 16561]]
['r', [16598, 16599]]
['r', [16606, 16607]]
['r', [16607, 16608]]
['r', [16643, 16644]]
['r', [16664, 16665]]
['r', [16688, 16689]]
['r', [16695, 16696]]
['r', [16700, 16701]]
['r', [16710, 16711]]
['r', [16731, 16732]]
['r', [16736, 16737]]
['r', [16752, 16753]]
['r', [16769, 16770]]
['r', [16778, 16779]]
['r', [16782, 16783]]
['r', [16783, 16784]]
['r', [16841, 16842]]
['r', [16857, 16858]]
['r', [16859, 16860]]
['r', [16871, 16872]]
['r', [16880, 16881]]
['r', [16892, 16893]]
['r', [16903, 16904]]
['r', [16917, 16918]]
['r', [16921, 16922]]
['r', [16943, 16944]]
['r', [16971, 16972]]
['r', [16981, 16982]]
['r', [16984, 16985]]
['r', [17011, 17012]]
['r', [17018, 17019]]
['r', [17023, 17024]]
['r', [17033, 17034]]
['r', [17059, 17060]]
['r', [17067, 17068]]
['r', [17078, 17079]]
['r', [17082, 17083]]
['r', [17083, 17084]]
['r', [17119, 17120]]
['r', [17127, 17128]]
['r', [17134, 17135]]
['r', [17145, 17146]]
['r', [17154, 17155]]
['r', [17169, 17170]]
['r', [17173, 17174]]
['r', [17174, 17175]]
['r', [17206, 17207]]
['r', [17211, 17212]]
['r', [17221, 17222]]
['r', [17236, 17237]]
['r', [17249, 17250]]
['r', [17277, 17278]]
['r', [17289, 17290]]
['r', [17300, 17301]]
['r', [17320, 17321]]
['r', [17348, 17349]]
['r', [17372, 17373]]
['r', [17377, 17378]]
['r', [17382, 17383]]
['r', [17388, 17389]]
['r', [17397, 17398]]
['r', [17401, 17402]]
['r', [17417, 17418]]
['r', [17419, 17420]]
['r', [17445, 17446]]
['r', [17449, 17450]]
['r', [17463, 17464]]
['r', [17471, 17472]]
['r', [17477, 17478]]
['r', [17481, 17482]]
['r', [17487, 17488]]
['r', [17495, 17496]]
['r', [17509, 17510]]
['r', [17534, 17535]]
['r', [17543, 17544]]
['r', [17550, 17551]]
['r', [17561, 17562]]
['r', [17582, 17583]]
['r', [17639, 17640]]
['r', [17653, 17654]]
['r', [17662, 17663]]
['r', [17677, 17678]]
['r', [17682, 17683]]
['r', [17692, 17693]]
['r', [17695, 17696]]
['r', [17696, 17697]]
['r', [17774, 17775]]
['r', [17781, 17782]]
['r', [17787, 17788]]
['r', [17794, 17795]]
['r', [17820, 17821]]
['r', [17823, 17824]]
['r', [17854, 17855]]
['r', [17870, 17871]]
['r', [17876, 17877]]
['r', [17888, 17889]]
['r', [17896, 17897]]
['r', [17905, 17906]]
['r', [17979, 17980]]
['r', [17998, 17999]]
['r', [18008, 18009]]
['r', [18015, 18016]]
['r', [18019, 18020]]
['r', [18030, 18031]]
['r', [18044, 18045]]
['r', [18108, 18109]]
['r', [18115, 18116]]
['r', [18120, 18121]]
['r', [18130, 18131]]
['r', [18139, 18140]]
['r', [18157, 18158]]
['r', [18160, 18161]]
['r', [18165, 18166]]
['r', [18195, 18196]]
['r', [18198, 18199]]
['r', [18227, 18228]]
['r', [18239, 18240]]
['r', [18242, 18243]]
['r', [18253, 18254]]
['r', [18262, 18263]]
['r', [18278, 18279]]
['r', [18283, 18284]]
['r', [18297, 18298]]
['r', [18302, 18303]]
['r', [18311, 18312]]
['r', [18324, 18325]]
['r', [18337, 18338]]
['r', [18348, 18349]]
['r', [18361, 18362]]
['r', [18370, 18371]]
['r', [18379, 18380]]
['r', [18403, 18404]]
['r', [18415, 18416]]
['r', [18465, 18466]]
['r', [18476, 18477]]
['r', [18487, 18488]]
['r', [18520, 18521]]
['r', [18530, 18531]]
['r', [18546, 18547]]
['r', [18551, 18552]]
['r', [18564, 18565]]
['r', [18589, 18590]]
['r', [18594, 18595]]
['r', [18619, 18620]]
['r', [18657, 18658]]
['r', [18671, 18672]]
['r', [18682, 18683]]
['r', [18692, 18693]]
['r', [18724, 18725]]
['r', [18737, 18738]]
['r', [18748, 18749]]
['r', [18762, 18763]]
['r', [18769, 18770]]
['r', [18772, 18773]]
['r', [18793, 18794]]
['r', [18823, 18824]]
['r', [18848, 18849]]
['r', [18869, 18870]]
['r', [18873, 18874]]
['r', [18894, 18895]]
['r', [18901, 18902]]
['r', [18908, 18909]]
['r', [18913, 18914]]
