['t', [7072, 7073]]
['t', [7080, 7081]]
['t', [7101, 7102]]
['t', [7103, 7104]]
['t', [7112, 7113]]
['t', [7114, 7115]]
['t', [7122, 7123]]
['t', [7136, 7137]]
['t', [7143, 7144]]
['t', [7148, 7149]]
['t', [7151, 7152]]
['t', [7168, 7169]]
['t', [7174, 7175]]
['t', [7176, 7177]]
['t', [7196, 7197]]
['t', [7206, 7207]]
['t', [7216, 7217]]
['t', [7228, 7229]]
['t', [7248, 7249]]
['t', [7263, 7264]]
['t', [7273, 7274]]
['t', [7307, 7308]]
['t', [7332, 7333]]
['t', [7346, 7347]]
['t', [7371, 7372]]
['t', [7373, 7374]]
['t', [7382, 7383]]
['t', [7384, 7385]]
['t', [7390, 7391]]
['t', [7392, 7393]]
['t', [7402, 7403]]
['t', [7447, 7448]]
['t', [7451, 7452]]
['t', [7481, 7482]]
['t', [7490, 7491]]
