['atn', [65753, 65756]]
['atn', [65901, 65904]]
['atn', [66052, 66055]]
['atn', [66532, 66535]]
['atn', [67327, 67330]]
['atn', [67422, 67425]]
['atn', [67528, 67531]]
['atn', [67937, 67940]]
['atn', [72007, 72010]]
['atn', [74264, 74267]]
['atn', [74412, 74415]]
['atn', [74563, 74566]]
['atn', [75043, 75046]]
['atn', [75838, 75841]]
['atn', [75933, 75936]]
['atn', [76039, 76042]]
['atn', [76448, 76451]]
['atn', [79858, 79861]]
['atn', [80006, 80009]]
['atn', [80157, 80160]]
['atn', [80637, 80640]]
['atn', [81432, 81435]]
['atn', [81527, 81530]]
['atn', [81633, 81636]]
