['p', [6473, 6474]]
['p', [6505, 6506]]
['p', [6539, 6540]]
['p', [6677, 6678]]
['p', [6848, 6849]]
['p', [6934, 6935]]
['p', [6937, 6938]]
['p', [7034, 7035]]
['p', [7098, 7099]]
['p', [7160, 7161]]
['p', [7179, 7180]]
['p', [7180, 7181]]
['p', [7263, 7264]]
['p', [7420, 7421]]
['p', [7435, 7436]]
['p', [7521, 7522]]
['p', [7545, 7546]]
['p', [7590, 7591]]
['p', [7604, 7605]]
['p', [7659, 7660]]
['p', [7737, 7738]]
['p', [7740, 7741]]
['p', [7826, 7827]]
['p', [7852, 7853]]
['p', [7879, 7880]]
['p', [7916, 7917]]
['p', [7934, 7935]]
['p', [7949, 7950]]
['p', [7975, 7976]]
['p', [7999, 8000]]
['p', [8048, 8049]]
['p', [8128, 8129]]
['p', [8192, 8193]]
['p', [8207, 8208]]
['p', [8219, 8220]]
['p', [8220, 8221]]
['p', [8280, 8281]]
['p', [8286, 8287]]
['p', [8297, 8298]]
['p', [8398, 8399]]
['p', [8441, 8442]]
['p', [8518, 8519]]
['p', [8519, 8520]]
['p', [8559, 8560]]
['p', [8624, 8625]]
['p', [8631, 8632]]
['p', [8673, 8674]]
['p', [8682, 8683]]
['p', [8716, 8717]]
['p', [8744, 8745]]
['p', [8755, 8756]]
['p', [8766, 8767]]
['p', [8816, 8817]]
['p', [8819, 8820]]
['p', [8872, 8873]]
['p', [8922, 8923]]
['p', [8949, 8950]]
['p', [8972, 8973]]
['p', [9007, 9008]]
['p', [9217, 9218]]
['p', [9232, 9233]]
['p', [9245, 9246]]
['p', [9295, 9296]]
['p', [9328, 9329]]
['p', [9375, 9376]]
['p', [9462, 9463]]
['p', [9479, 9480]]
['p', [9523, 9524]]
['p', [9570, 9571]]
['p', [9602, 9603]]
['p', [9619, 9620]]
['p', [9620, 9621]]
['p', [9634, 9635]]
['p', [9635, 9636]]
['p', [9638, 9639]]
['p', [9785, 9786]]
['p', [9833, 9834]]
['p', [9847, 9848]]
['p', [9901, 9902]]
['p', [9987, 9988]]
['p', [10003, 10004]]
['p', [10098, 10099]]
['p', [10116, 10117]]
['p', [10157, 10158]]
['p', [10302, 10303]]
['p', [10342, 10343]]
['p', [10384, 10385]]
['p', [10478, 10479]]
['p', [10504, 10505]]
['p', [10508, 10509]]
['p', [10566, 10567]]
['p', [10657, 10658]]
['p', [10715, 10716]]
['p', [10778, 10779]]
['p', [10797, 10798]]
['p', [10909, 10910]]
['p', [10924, 10925]]
['p', [10976, 10977]]
['p', [10992, 10993]]
['p', [11023, 11024]]
['p', [11060, 11061]]
['p', [11072, 11073]]
['p', [11073, 11074]]
['p', [11076, 11077]]
['p', [11122, 11123]]
['p', [11172, 11173]]
['p', [11231, 11232]]
['p', [11285, 11286]]
['p', [11296, 11297]]
['p', [11335, 11336]]
['p', [11350, 11351]]
['p', [11419, 11420]]
['p', [11550, 11551]]
['p', [11587, 11588]]
['p', [11601, 11602]]
['p', [11612, 11613]]
['p', [11749, 11750]]
['p', [11785, 11786]]
['p', [11820, 11821]]
['p', [11886, 11887]]
['p', [11951, 11952]]
['p', [11973, 11974]]
['p', [12052, 12053]]
['p', [12066, 12067]]
['p', [12111, 12112]]
['p', [12132, 12133]]
['p', [12245, 12246]]
['p', [12279, 12280]]
['p', [12305, 12306]]
['p', [12389, 12390]]
['p', [12402, 12403]]
['p', [12426, 12427]]
['p', [12443, 12444]]
['p', [12494, 12495]]
['p', [12528, 12529]]
['p', [12542, 12543]]
['p', [12568, 12569]]
['p', [12596, 12597]]
['p', [12636, 12637]]
['p', [12653, 12654]]
['p', [12682, 12683]]
['p', [12697, 12698]]
['p', [12725, 12726]]
['p', [12737, 12738]]
['p', [12756, 12757]]
['p', [12905, 12906]]
['p', [13140, 13141]]
['p', [13186, 13187]]
['p', [13198, 13199]]
['p', [13199, 13200]]
['p', [13218, 13219]]
['p', [13228, 13229]]
['p', [13229, 13230]]
['p', [13364, 13365]]
['p', [13474, 13475]]
['p', [13522, 13523]]
['p', [13588, 13589]]
['p', [13634, 13635]]
['p', [13637, 13638]]
['p', [13676, 13677]]
['p', [13708, 13709]]
['p', [13782, 13783]]
['p', [13830, 13831]]
['p', [13845, 13846]]
['p', [13854, 13855]]
['p', [13860, 13861]]
