['d', [7349, 7350]]
['d', [7426, 7427]]
['d', [7468, 7469]]
['d', [7491, 7492]]
['d', [7551, 7552]]
['d', [7564, 7565]]
['d', [7618, 7619]]
['d', [7645, 7646]]
['d', [7665, 7666]]
['d', [7674, 7675]]
['d', [7683, 7684]]
['d', [7688, 7689]]
['d', [7715, 7716]]
['d', [7717, 7718]]
['d', [7758, 7759]]
['d', [7799, 7800]]
['d', [7889, 7890]]
['d', [7895, 7896]]
['d', [7937, 7938]]
['d', [7948, 7949]]
['d', [7950, 7951]]
['d', [7975, 7976]]
['d', [8040, 8041]]
['d', [8126, 8127]]
['d', [8144, 8145]]
['d', [8194, 8195]]
['d', [8217, 8218]]
['d', [8225, 8226]]
['d', [8240, 8241]]
['d', [8269, 8270]]
['d', [8271, 8272]]
['d', [8297, 8298]]
['d', [8346, 8347]]
['d', [8347, 8348]]
['d', [8349, 8350]]
['d', [8380, 8381]]
['d', [8392, 8393]]
['d', [8412, 8413]]
['d', [8429, 8430]]
['d', [8456, 8457]]
['d', [8471, 8472]]
['d', [8508, 8509]]
['d', [8522, 8523]]
['d', [8527, 8528]]
['d', [8535, 8536]]
['d', [8546, 8547]]
['d', [8584, 8585]]
['d', [8643, 8644]]
['d', [8677, 8678]]
['d', [8699, 8700]]
['d', [8720, 8721]]
['d', [8784, 8785]]
['d', [8797, 8798]]
['d', [8832, 8833]]
['d', [8844, 8845]]
['d', [8942, 8943]]
['d', [8944, 8945]]
['d', [8985, 8986]]
['d', [9002, 9003]]
['d', [9084, 9085]]
['d', [9095, 9096]]
['d', [9185, 9186]]
['d', [9191, 9192]]
['d', [9253, 9254]]
['d', [9268, 9269]]
['d', [9280, 9281]]
['d', [9292, 9293]]
['d', [9299, 9300]]
['d', [9314, 9315]]
['d', [9415, 9416]]
['d', [9434, 9435]]
['d', [9446, 9447]]
['d', [9563, 9564]]
['d', [9659, 9660]]
['d', [9739, 9740]]
['d', [9768, 9769]]
['d', [9777, 9778]]
['d', [9782, 9783]]
['d', [9789, 9790]]
['d', [9827, 9828]]
['d', [9842, 9843]]
['d', [9890, 9891]]
['d', [9907, 9908]]
['d', [9992, 9993]]
['d', [10012, 10013]]
['d', [10030, 10031]]
['d', [10041, 10042]]
['d', [10060, 10061]]
['d', [10068, 10069]]
['d', [10108, 10109]]
['d', [10120, 10121]]
['d', [10128, 10129]]
['d', [10146, 10147]]
['d', [10155, 10156]]
['d', [10217, 10218]]
['d', [10275, 10276]]
['d', [10289, 10290]]
['d', [10341, 10342]]
['d', [10347, 10348]]
['d', [10355, 10356]]
