['i', [4748, 4749]]
['i', [4770, 4771]]
['i', [4794, 4795]]
['i', [4802, 4803]]
['i', [4824, 4825]]
['i', [4826, 4827]]
['i', [4851, 4852]]
['i', [4861, 4862]]
['i', [4882, 4883]]
['i', [4897, 4898]]
['i', [4909, 4910]]
['i', [4923, 4924]]
['i', [4935, 4936]]
['i', [4956, 4957]]
['i', [4980, 4981]]
['i', [4990, 4991]]
['i', [4992, 4993]]
['i', [4996, 4997]]
['i', [5063, 5064]]
['i', [5083, 5084]]
['i', [5106, 5107]]
['i', [5140, 5141]]
['i', [5189, 5190]]
['i', [5210, 5211]]
['i', [5245, 5246]]
['i', [5268, 5269]]
['i', [5292, 5293]]
['i', [5308, 5309]]
['i', [5318, 5319]]
['i', [5357, 5358]]
['i', [5421, 5422]]
['i', [5437, 5438]]
['i', [5447, 5448]]
['i', [5484, 5485]]
['i', [5494, 5495]]
['i', [5537, 5538]]
['i', [5549, 5550]]
['i', [5551, 5552]]
['i', [5596, 5597]]
['i', [5611, 5612]]
['i', [5623, 5624]]
['i', [5646, 5647]]
['i', [5657, 5658]]
['i', [5663, 5664]]
['i', [5678, 5679]]
['i', [5694, 5695]]
['i', [5699, 5700]]
['i', [5715, 5716]]
['i', [5747, 5748]]
['i', [5770, 5771]]
['i', [5790, 5791]]
['i', [5808, 5809]]
['i', [5822, 5823]]
['i', [5831, 5832]]
['i', [5903, 5904]]
['i', [5916, 5917]]
['i', [5934, 5935]]
['i', [5938, 5939]]
['i', [5946, 5947]]
['i', [5982, 5983]]
['i', [5985, 5986]]
['i', [6037, 6038]]
['i', [6058, 6059]]
['i', [6068, 6069]]
['i', [6073, 6074]]
['i', [6096, 6097]]
['i', [6102, 6103]]
['i', [6112, 6113]]
['i', [6117, 6118]]
['i', [6120, 6121]]
['i', [6171, 6172]]
['i', [6198, 6199]]
['i', [6217, 6218]]
['i', [6244, 6245]]
['i', [6255, 6256]]
['i', [6265, 6266]]
['i', [6267, 6268]]
['i', [6270, 6271]]
['i', [6299, 6300]]
['i', [6310, 6311]]
['i', [6360, 6361]]
['i', [6395, 6396]]
['i', [6413, 6414]]
['i', [6441, 6442]]
['i', [6446, 6447]]
['i', [6453, 6454]]
['i', [6459, 6460]]
['i', [6465, 6466]]
['i', [6470, 6471]]
['i', [6520, 6521]]
['i', [6545, 6546]]
['i', [6582, 6583]]
['i', [6607, 6608]]
['i', [6616, 6617]]
['i', [6621, 6622]]
['i', [6640, 6641]]
['i', [6688, 6689]]
['i', [6703, 6704]]
['i', [6718, 6719]]
['i', [6772, 6773]]
['i', [6786, 6787]]
['i', [6799, 6800]]
['i', [6804, 6805]]
['i', [6823, 6824]]
['i', [6860, 6861]]
['i', [6876, 6877]]
['i', [6889, 6890]]
['i', [6908, 6909]]
['i', [6923, 6924]]
['i', [6930, 6931]]
['i', [6940, 6941]]
['i', [6942, 6943]]
['i', [6952, 6953]]
['i', [6965, 6966]]
['i', [6978, 6979]]
['i', [7013, 7014]]
['i', [7048, 7049]]
['i', [7071, 7072]]
['i', [7086, 7087]]
['i', [7106, 7107]]
['i', [7111, 7112]]
['i', [7130, 7131]]
['i', [7198, 7199]]
['i', [7247, 7248]]
['i', [7252, 7253]]
['i', [7271, 7272]]
['i', [7312, 7313]]
['i', [7332, 7333]]
['i', [7406, 7407]]
['i', [7410, 7411]]
['i', [7436, 7437]]
['i', [7445, 7446]]
['i', [7509, 7510]]
['i', [7520, 7521]]
['i', [7549, 7550]]
['i', [7558, 7559]]
['i', [7563, 7564]]
