['of', [27577, 27579]]
['of', [27809, 27811]]
['of', [28725, 28727]]
['of', [28924, 28926]]
['of', [29056, 29058]]
['of', [29102, 29104]]
['of', [29115, 29117]]
['of', [29365, 29367]]
['of', [29439, 29441]]
['of', [29612, 29614]]
['of', [29924, 29926]]
['of', [30617, 30619]]
['of', [30674, 30676]]
['of', [30975, 30977]]
['of', [31727, 31729]]
['of', [32060, 32062]]
['of', [32156, 32158]]
['of', [32508, 32510]]
['of', [32781, 32783]]
['of', [33032, 33034]]
['of', [33081, 33083]]
['of', [33157, 33159]]
['of', [33374, 33376]]
['of', [33426, 33428]]
['of', [34243, 34245]]
['of', [34266, 34268]]
['of', [34332, 34334]]
['of', [34415, 34417]]
['of', [35361, 35363]]
['of', [35395, 35397]]
['of', [35468, 35470]]
['of', [35704, 35706]]
['of', [35872, 35874]]
['of', [35948, 35950]]
['of', [35975, 35977]]
['of', [36116, 36118]]
['of', [36348, 36350]]
['of', [37264, 37266]]
['of', [37463, 37465]]
['of', [37595, 37597]]
['of', [37641, 37643]]
['of', [37654, 37656]]
['of', [37904, 37906]]
['of', [37978, 37980]]
['of', [38151, 38153]]
['of', [38463, 38465]]
['of', [39156, 39158]]
['of', [39213, 39215]]
['of', [39514, 39516]]
['of', [40266, 40268]]
['table', [15291, 15296]]
['table', [16342, 16347]]
['table', [18079, 18084]]
['table', [19470, 19475]]
['table', [20521, 20526]]
['table', [22258, 22263]]
['iii', [18085, 18088]]
['iii', [22264, 22267]]
['neonatal', [1965, 1973]]
['neonatal', [2727, 2735]]
['neonatal', [8659, 8667]]
['neonatal', [9422, 9430]]
['neonatal', [23790, 23798]]
['neonatal', [24890, 24898]]
['neonatal', [32329, 32337]]
