['roi\xe2\x80\x99s', [18080, 18087]]
['roi\xe2\x80\x99s', [18489, 18496]]
['1', [813, 814]]
['1', [1251, 1252]]
['1', [1606, 1607]]
['1', [1860, 1861]]
['1', [1873, 1874]]
['1', [1982, 1983]]
['1', [2055, 2056]]
['1', [2373, 2374]]
['1', [3513, 3514]]
['1', [4721, 4722]]
['1', [6143, 6144]]
['1', [6646, 6647]]
['1', [7084, 7085]]
['1', [7439, 7440]]
['1', [7694, 7695]]
['1', [7707, 7708]]
['1', [7816, 7817]]
['1', [7889, 7890]]
['1', [8207, 8208]]
['1', [8888, 8889]]
['1', [9547, 9548]]
['1', [9839, 9840]]
['1', [10079, 10080]]
['1', [11226, 11227]]
['1', [11349, 11350]]
['1', [11433, 11434]]
['1', [11454, 11455]]
['1', [11466, 11467]]
['1', [13327, 13328]]
['1', [14127, 14128]]
['1', [14786, 14787]]
['1', [15079, 15080]]
['1', [15319, 15320]]
['1', [16468, 16469]]
['1', [16591, 16592]]
['1', [16675, 16676]]
['1', [16696, 16697]]
['1', [16708, 16709]]
['1', [18571, 18572]]
['1', [19295, 19296]]
['1', [19327, 19328]]
['1', [20704, 20705]]
['1', [20771, 20772]]
['1', [20772, 20773]]
['1', [21092, 21093]]
['1', [21210, 21211]]
['1', [21262, 21263]]
['1', [21297, 21298]]
['1', [21533, 21534]]
['1', [21550, 21551]]
['1', [21562, 21563]]
['1', [21591, 21592]]
['1', [21735, 21736]]
['1', [22116, 22117]]
['1', [22676, 22677]]
['1', [22877, 22878]]
['1', [23095, 23096]]
['1', [23127, 23128]]
['1', [24504, 24505]]
['1', [24571, 24572]]
['1', [24572, 24573]]
['1', [24892, 24893]]
['1', [25010, 25011]]
['1', [25062, 25063]]
['1', [25097, 25098]]
['1', [25333, 25334]]
['1', [25350, 25351]]
['1', [25362, 25363]]
['1', [25391, 25392]]
['1', [25535, 25536]]
['1', [25916, 25917]]
['1', [26476, 26477]]
['1', [26677, 26678]]
['1', [28460, 28461]]
['1', [28507, 28508]]
['1', [28512, 28513]]
['1', [28513, 28514]]
['1', [28830, 28831]]
['1', [29926, 29927]]
['1', [29931, 29932]]
['1', [31628, 31629]]
['1', [31633, 31634]]
['1', [32248, 32249]]
['1', [32432, 32433]]
['1', [32461, 32462]]
['1', [34770, 34771]]
['1', [36000, 36001]]
['1', [36001, 36002]]
['1', [37702, 37703]]
['1', [37749, 37750]]
['1', [37754, 37755]]
['1', [37755, 37756]]
['1', [38072, 38073]]
['1', [39168, 39169]]
['1', [39173, 39174]]
['1', [40870, 40871]]
['1', [40875, 40876]]
['1', [41490, 41491]]
['1', [41674, 41675]]
['1', [41703, 41704]]
['1', [44012, 44013]]
['1', [45242, 45243]]
['1', [45243, 45244]]
['1', [46028, 46029]]
['1', [46223, 46224]]
['1', [46671, 46672]]
['1', [46675, 46676]]
['1', [46676, 46677]]
['1', [46679, 46680]]
['1', [46722, 46723]]
['1', [46757, 46758]]
['1', [46761, 46762]]
['1', [47012, 47013]]
['1', [47101, 47102]]
['1', [47148, 47149]]
