['a', [5580, 5581]]
['a', [5591, 5592]]
['a', [5616, 5617]]
['a', [5635, 5636]]
['a', [5646, 5647]]
['a', [5658, 5659]]
['a', [5672, 5673]]
['a', [5675, 5676]]
['a', [5688, 5689]]
['a', [5693, 5694]]
['a', [5713, 5714]]
['a', [5716, 5717]]
['a', [5728, 5729]]
['a', [5739, 5740]]
['a', [5752, 5753]]
['a', [5788, 5789]]
['a', [5794, 5795]]
['a', [5802, 5803]]
['a', [5820, 5821]]
['a', [5836, 5837]]
['a', [5841, 5842]]
['a', [5846, 5847]]
['a', [5850, 5851]]
['a', [5852, 5853]]
['a', [5858, 5859]]
['a', [5873, 5874]]
['a', [5891, 5892]]
['a', [5897, 5898]]
['a', [5903, 5904]]
['a', [5910, 5911]]
['a', [5936, 5937]]
['a', [5941, 5942]]
['a', [5947, 5948]]
['a', [5962, 5963]]
['a', [6008, 6009]]
