['1', [77983, 77984]]
['1', [78043, 78044]]
['1', [78099, 78100]]
['1', [78118, 78119]]
['1', [78123, 78124]]
['1', [78165, 78166]]
['1', [78171, 78172]]
['1', [78186, 78187]]
['1', [78201, 78202]]
['1', [78235, 78236]]
['1', [78252, 78253]]
['1', [78261, 78262]]
['1', [78328, 78329]]
['1', [78344, 78345]]
['1', [78351, 78352]]
['1', [78360, 78361]]
['1', [78508, 78509]]
['1', [78523, 78524]]
['1', [78533, 78534]]
['1', [78543, 78544]]
['1', [78545, 78546]]
['1', [78625, 78626]]
['1', [78626, 78627]]
['1', [78631, 78632]]
['1', [78635, 78636]]
['1', [78645, 78646]]
['1', [78650, 78651]]
['1', [78656, 78657]]
['1', [78688, 78689]]
['1', [78705, 78706]]
['1', [78709, 78710]]
['1', [78714, 78715]]
['1', [78718, 78719]]
['1', [78724, 78725]]
['1', [78728, 78729]]
['1', [78739, 78740]]
['1', [78781, 78782]]
['1', [78831, 78832]]
['1', [78841, 78842]]
['1', [78843, 78844]]
['1', [78851, 78852]]
['1', [78873, 78874]]
['1', [78874, 78875]]
['1', [78883, 78884]]
['1', [78932, 78933]]
['1', [78938, 78939]]
['1', [78948, 78949]]
['1', [78954, 78955]]
['1', [78988, 78989]]
['1', [79028, 79029]]
['1', [79058, 79059]]
['1', [79221, 79222]]
['1', [79228, 79229]]
['1', [79230, 79231]]
['1', [79246, 79247]]
['1', [79264, 79265]]
['1', [79325, 79326]]
['1', [79369, 79370]]
['1', [79377, 79378]]
['1', [79390, 79391]]
['1', [79424, 79425]]
['1', [79768, 79769]]
['1', [79772, 79773]]
['1', [79863, 79864]]
