['t', [7295, 7296]]
['t', [7303, 7304]]
['t', [7307, 7308]]
['t', [7318, 7319]]
['t', [7334, 7335]]
['t', [7338, 7339]]
['t', [7345, 7346]]
['t', [7391, 7392]]
['t', [7411, 7412]]
['t', [7432, 7433]]
['t', [7441, 7442]]
['t', [7447, 7448]]
['t', [7465, 7466]]
['t', [7472, 7473]]
['t', [7481, 7482]]
['t', [7485, 7486]]
['t', [7493, 7494]]
['t', [7509, 7510]]
['t', [7516, 7517]]
['t', [7525, 7526]]
['t', [7527, 7528]]
['t', [7530, 7531]]
['t', [7540, 7541]]
['t', [7550, 7551]]
['t', [7560, 7561]]
['t', [7571, 7572]]
['t', [7582, 7583]]
['t', [7590, 7591]]
['t', [7595, 7596]]
['t', [7607, 7608]]
['t', [7668, 7669]]
['t', [7672, 7673]]
['t', [7691, 7692]]
['t', [7695, 7696]]
['t', [7708, 7709]]
['t', [7725, 7726]]
['t', [7741, 7742]]
['t', [7746, 7747]]
['t', [7754, 7755]]
['t', [7763, 7764]]
['t', [7774, 7775]]
['t', [7781, 7782]]
['t', [7784, 7785]]
['t', [7789, 7790]]
['t', [7807, 7808]]
['t', [7820, 7821]]
['t', [7834, 7835]]
['t', [7837, 7838]]
['t', [7849, 7850]]
['t', [7863, 7864]]
['t', [7882, 7883]]
['t', [7899, 7900]]
['t', [7912, 7913]]
['t', [7920, 7921]]
['t', [7926, 7927]]
['t', [7944, 7945]]
['t', [7952, 7953]]
['t', [7956, 7957]]
['t', [7965, 7966]]
['t', [7989, 7990]]
['t', [7999, 8000]]
['t', [8016, 8017]]
['t', [8021, 8022]]
['t', [8049, 8050]]
['t', [8063, 8064]]
