['4', [49070, 49071]]
['\\[', [2884, 2886]]
['\\[', [3157, 3159]]
['\\[', [3664, 3666]]
['\\[', [4414, 4416]]
['\\[', [4871, 4873]]
['\\[', [6294, 6296]]
['\\[', [6707, 6709]]
['\\[', [7075, 7077]]
['\\[', [7262, 7264]]
['\\[', [7462, 7464]]
['\\[', [8521, 8523]]
['\\[', [8637, 8639]]
['\\[', [9045, 9047]]
['\\[', [9195, 9197]]
['\\[', [9312, 9314]]
['\\[', [9384, 9386]]
['\\[', [9702, 9704]]
['\\[', [9817, 9819]]
['\\[', [10237, 10239]]
['\\[', [10444, 10446]]
['\\[', [14084, 14086]]
['\\[', [17269, 17271]]
['\\[', [20460, 20462]]
['\\[', [20873, 20875]]
['\\[', [21240, 21242]]
['\\[', [21427, 21429]]
['\\[', [21627, 21629]]
['\\[', [22686, 22688]]
['\\[', [22802, 22804]]
['\\[', [23210, 23212]]
['\\[', [23360, 23362]]
['\\[', [23477, 23479]]
['\\[', [23549, 23551]]
['\\[', [23867, 23869]]
['\\[', [23982, 23984]]
['\\[', [24402, 24404]]
['\\[', [24609, 24611]]
['\\[', [26081, 26083]]
['\\[', [26494, 26496]]
['\\[', [26861, 26863]]
['\\[', [27048, 27050]]
['\\[', [27248, 27250]]
['\\[', [28307, 28309]]
['\\[', [28423, 28425]]
['\\[', [28831, 28833]]
['\\[', [28981, 28983]]
['\\[', [29098, 29100]]
['\\[', [29170, 29172]]
['\\[', [29488, 29490]]
['\\[', [29603, 29605]]
['\\[', [30023, 30025]]
['\\[', [30230, 30232]]
['\\[', [32513, 32515]]
['\\[', [34372, 34374]]
['\\[', [35250, 35252]]
['\\[', [37866, 37868]]
['\\[', [39725, 39727]]
['\\[', [40603, 40605]]
['\\[', [43043, 43045]]
['\\[', [43797, 43799]]
['\\[', [44295, 44297]]
['\\[', [44616, 44618]]
['\\[', [44753, 44755]]
['\\[', [44779, 44781]]
['\\[', [44821, 44823]]
['\\[', [44850, 44852]]
['\\[', [44868, 44870]]
['\\[', [44892, 44894]]
['\\[', [44919, 44921]]
['\\[', [44934, 44936]]
['\\[', [44952, 44954]]
['\\[', [44985, 44987]]
['\\[', [45020, 45022]]
['\\[', [47071, 47073]]
['\\[', [47825, 47827]]
['\\[', [48323, 48325]]
['\\[', [48644, 48646]]
['\\[', [48781, 48783]]
['\\[', [48807, 48809]]
['\\[', [48849, 48851]]
['\\[', [48878, 48880]]
['\\[', [48896, 48898]]
['\\[', [48920, 48922]]
['\\[', [48947, 48949]]
['\\[', [48962, 48964]]
['\\[', [48980, 48982]]
